"year","geog_name","sector","source","sequestration_metric_tons_co2e","sequestration_per_sq_mi"
2021,"Anoka","Nature","Urban grassland",-15861.5398194911,-35.6396932365338
2021,"Anoka","Nature","Urban tree",-18838.4775523997,-42.3286495921299
2021,"Anoka","Nature","Grassland",-781.828057710245,-1.75670915041098
2021,"Anoka","Nature","Tree",-78333.4379260263,-176.009374223303
2021,"Anoka","Nature","Wetland",-305030.910248082,-685.381633348325
2021,"Carver","Nature","Urban grassland",-8716.994996501,-23.2401580512905
2021,"Carver","Nature","Urban tree",-6915.53920229979,-18.437342700765
2021,"Carver","Nature","Grassland",-349.830013529204,-0.932672877381165
2021,"Carver","Nature","Tree",-36909.0831223038,-98.4023652227483
2021,"Carver","Nature","Wetland",-67157.4496891005,-179.046763904622
2021,"Dakota","Nature","Urban grassland",-15827.7981110679,-27.028110364655
2021,"Dakota","Nature","Urban tree",-32965.6234509667,-56.2932697662686
2021,"Dakota","Nature","Grassland",-2703.6327867339,-4.61681939790758
2021,"Dakota","Nature","Tree",-52754.4495112146,-90.0853721793851
2021,"Dakota","Nature","Wetland",-41253.2809101718,-70.4455680771256
2021,"Hennepin","Nature","Urban grassland",-19602.6977383014,-32.3776216454148
2021,"Hennepin","Nature","Urban tree",-66257.4453281867,-109.436901219784
2021,"Hennepin","Nature","Grassland",-885.718737569581,-1.46293467114222
2021,"Hennepin","Nature","Tree",-50580.9821646314,-83.544210334889
2021,"Hennepin","Nature","Wetland",-120906.266742005,-199.699929642002
2021,"Ramsey","Nature","Urban grassland",-4826.48351634241,-28.452188581116
2021,"Ramsey","Nature","Urban tree",-28264.9945042736,-166.622542303684
2021,"Ramsey","Nature","Grassland",-269.412411894649,-1.58818997793424
2021,"Ramsey","Nature","Tree",-10626.783583201,-62.6450394984613
2021,"Ramsey","Nature","Wetland",-21842.8720668967,-128.764039718818
2021,"Scott","Nature","Urban grassland",-10150.0485039015,-27.6120889367086
2021,"Scott","Nature","Urban tree",-8601.56095684509,-23.399599129367
2021,"Scott","Nature","Grassland",-1072.25121985935,-2.91694133617884
2021,"Scott","Nature","Tree",-49544.0918060137,-134.779244523833
2021,"Scott","Nature","Wetland",-78670.4112974433,-214.014188463973
2021,"Washington","Nature","Urban grassland",-11705.6574849133,-27.714486218945
2021,"Washington","Nature","Urban tree",-18926.1449019151,-44.8098180506231
2021,"Washington","Nature","Grassland",-1115.16636748495,-2.64028423549261
2021,"Washington","Nature","Tree",-79287.9557060871,-187.723325970949
2021,"Washington","Nature","Wetland",-59771.7029002289,-141.516359798352
